iter	Logloss
0	0.6809427407
1	0.6719617763
2	0.6651104958
3	0.6597878982
4	0.6554832341
5	0.6521747019
6	0.6494399369
7	0.6471910766
8	0.6453420958
9	0.6435920735
10	0.6422644862
11	0.6406245646
12	0.6395738564
13	0.6383997379
14	0.6371540511
15	0.6363231085
16	0.6352341865
17	0.6343005286
18	0.63339551
19	0.6324581331
20	0.6315577031
21	0.6308158699
22	0.6300944636
23	0.6294227411
24	0.6287146978
25	0.6278704372
26	0.6274042899
27	0.6269260659
28	0.6264726403
29	0.6260066107
30	0.6253247206
31	0.6248314167
32	0.6244362141
33	0.6239330705
34	0.6235989552
35	0.6232861621
36	0.6228427373
37	0.6224790673
38	0.6221636655
39	0.621778221
40	0.6214177996
41	0.6209738581
42	0.6206059124
43	0.6202095623
44	0.6197381669
45	0.619311552
46	0.6188315494
47	0.618537885
48	0.6183014023
49	0.6179207306
50	0.6175842521
51	0.6171443522
52	0.6166905628
53	0.6164469474
54	0.6162049349
55	0.6159567787
56	0.6156809056
57	0.615424174
58	0.6151672184
59	0.6149002187
60	0.6146844631
61	0.6143346091
62	0.6141277553
63	0.6138094323
64	0.6135044027
65	0.6132878203
66	0.6130996944
67	0.6127280358
68	0.6123985191
69	0.6120602113
70	0.611791545
71	0.611647599
72	0.6113336405
73	0.6110009926
74	0.6108014932
75	0.6105217062
76	0.6102199565
77	0.6099655744
78	0.6096390619
79	0.6094698456
80	0.6093214015
81	0.6090833669
82	0.6089347002
83	0.6087052824
84	0.6084809099
85	0.6083217008
86	0.6081304054
87	0.6079291148
88	0.6077597149
89	0.6075659353
90	0.6073548186
91	0.6071260415
92	0.6069956446
93	0.6068354388
94	0.6066134173
95	0.60643457
96	0.6061590575
97	0.6060070824
98	0.6058105069
99	0.6056210137
100	0.6054789131
101	0.6052072543
102	0.6050167043
103	0.6047374644
104	0.6045408811
105	0.6044191322
106	0.6042377011
107	0.6040781901
108	0.6039140293
109	0.6036746978
110	0.6034270404
111	0.6032182502
112	0.6030109151
113	0.6028753819
114	0.6027244119
115	0.6025814718
116	0.6024368898
117	0.6022583363
118	0.6019950786
119	0.601889697
120	0.6017443515
121	0.6016336004
122	0.6014810365
123	0.6011990157
124	0.601011301
125	0.6008857671
126	0.6007579451
127	0.600630883
128	0.6004281013
129	0.6003395176
130	0.6001774901
131	0.5999790109
132	0.5998827217
133	0.5996785838
134	0.5995240007
135	0.5993361555
136	0.5991912915
137	0.5989997121
138	0.598891692
139	0.5987539605
140	0.5985914538
141	0.5984323062
142	0.5983402774
143	0.5981971246
144	0.598017171
145	0.5978892583
146	0.5977289204
147	0.5975522186
148	0.5974544276
149	0.5972643896
150	0.5971489368
151	0.5970248372
152	0.5968996964
153	0.5967437211
154	0.5966057292
155	0.5964710123
156	0.5963251024
157	0.5962004485
158	0.5960503548
159	0.5959486084
160	0.5958532583
161	0.5957242215
162	0.5955069799
163	0.5953941868
164	0.5953033489
165	0.5951559488
166	0.594994991
167	0.5949053562
168	0.5947331726
169	0.5945534861
170	0.594443016
171	0.5942675664
172	0.5941763544
173	0.5940380693
174	0.5939416495
175	0.5938084944
176	0.5937261101
177	0.5935566123
178	0.593395884
179	0.5932352227
180	0.5931570343
181	0.5930698133
182	0.5929358982
183	0.5927999224
184	0.5926623063
185	0.5925545725
186	0.5924596328
187	0.592380355
188	0.592288411
189	0.5922033664
190	0.5920797952
191	0.591975549
192	0.5918586235
193	0.5917592887
194	0.5916770978
195	0.5915440057
196	0.5914182256
197	0.5912335698
198	0.5911261165
199	0.5910280781
200	0.590884133
201	0.5907618273
202	0.5906632935
203	0.5905632257
204	0.5904316134
205	0.5903204256
206	0.5902243607
207	0.5900553505
208	0.5899320396
209	0.5897910284
210	0.5896719829
211	0.5895712245
212	0.5894580439
213	0.5893623774
214	0.5892488812
215	0.5891440529
216	0.5890408832
217	0.5889686472
218	0.5888760927
219	0.5887888634
220	0.5886758041
221	0.588570977
222	0.5884817637
223	0.5883703933
224	0.5882556014
225	0.5881458008
226	0.5879665373
227	0.587883028
228	0.5877659697
229	0.5876812114
230	0.587517893
231	0.5874287495
232	0.5873324474
233	0.5872204114
234	0.5871219372
235	0.5870195761
236	0.5869239508
237	0.586737088
238	0.5866483022
239	0.5865150203
240	0.5864275923
241	0.5863768649
242	0.5862865031
243	0.5861318327
244	0.5860111163
245	0.5858850301
246	0.5857614264
247	0.5856386115
248	0.5855548473
249	0.5854619035
250	0.5853766875
251	0.5852391844
252	0.5851660589
253	0.5850817114
254	0.5849715902
255	0.584868529
256	0.5847880178
257	0.5846450322
258	0.584544907
259	0.5844540982
260	0.584322863
261	0.584256263
262	0.5841559555
263	0.5840711853
264	0.5840092482
265	0.5839525271
266	0.5838622413
267	0.5838203311
268	0.5837358674
269	0.5836318767
270	0.5834854057
271	0.5833765975
272	0.5832821486
273	0.5831997147
274	0.5831317768
275	0.5830568796
276	0.5829837933
277	0.5828945942
278	0.5828036579
279	0.5827244145
280	0.5826365439
281	0.5825434814
282	0.5824385176
283	0.5823683115
284	0.5822831392
285	0.5822080919
286	0.5821245197
287	0.5820240845
288	0.5819621167
289	0.5818329307
290	0.5817643986
291	0.5816967437
292	0.5816189892
293	0.5815061312
294	0.5814484629
295	0.581356919
296	0.5812566154
297	0.581172933
298	0.581099044
299	0.5810128555
