iter	Passed	Remaining
0	132	39483
1	262	39103
2	388	38424
3	513	37975
4	638	37694
5	775	38012
6	898	37613
7	1024	37400
8	1157	37421
9	1286	37322
10	1425	37451
11	1546	37124
12	1676	37016
13	1815	37085
14	1986	37741
15	2132	37844
16	2269	37779
17	2408	37731
18	2539	37559
19	2671	37407
20	2803	37251
21	2942	37180
22	3086	37175
23	3217	37004
24	3341	36758
25	3463	36497
26	3602	36426
27	3744	36370
28	3876	36228
29	4010	36093
30	4140	35932
31	4271	35777
32	4410	35685
33	4541	35527
34	4672	35376
35	4811	35287
36	4948	35177
37	5085	35060
38	5226	34974
39	5374	34935
40	5507	34791
41	5637	34633
42	5773	34505
43	5902	34339
44	6041	34237
45	6178	34114
46	6302	33924
47	6438	33800
48	6590	33760
49	6729	33646
50	6866	33523
51	7001	33393
52	7145	33300
53	7285	33191
54	7433	33111
55	7567	32972
56	7700	32826
57	7836	32697
58	7972	32565
59	8106	32424
60	8255	32345
61	8380	32171
62	8513	32028
63	8642	31867
64	8769	31705
65	8899	31553
66	9030	31404
67	9163	31262
68	9293	31112
69	9422	30961
70	9552	30809
71	9683	30665
72	9813	30516
73	9939	30356
74	10081	30244
75	10213	30103
76	10343	29954
77	10483	29838
78	10630	29738
79	10764	29603
80	10894	29455
81	11024	29310
82	11158	29174
83	11279	29005
84	11407	28853
85	11538	28712
86	11703	28653
87	11865	28585
88	12019	28496
89	12165	28386
90	12312	28277
91	12461	28174
92	12604	28055
93	12741	27922
94	12879	27791
95	13016	27660
96	13158	27538
97	13298	27411
98	13435	27278
99	13575	27151
100	13709	27012
101	13829	26845
102	13968	26715
103	14099	26571
104	14252	26469
105	14396	26347
106	14527	26204
107	14663	26069
108	14792	25920
109	14927	25783
110	15066	25652
111	15203	25520
112	15331	25371
113	15467	25236
114	15600	25096
115	15730	24951
116	15864	24814
117	16003	24683
118	16143	24554
119	16279	24418
120	16417	24286
121	16548	24144
122	16677	23999
123	16808	23857
124	16930	23702
125	17071	23575
126	17210	23444
127	17353	23318
128	17491	23186
129	17637	23064
130	17777	22934
131	17918	22805
132	18076	22697
133	18218	22569
134	18338	22413
135	18466	22268
136	18594	22123
137	18715	21970
138	18846	21829
139	18982	21694
140	19116	21556
141	19248	21417
142	19380	21277
143	19511	21137
144	19653	21009
145	19790	20874
146	19928	20741
147	20066	20609
148	20199	20470
149	20334	20334
150	20462	20191
151	20596	20054
152	20732	19919
153	20881	19797
154	21016	19660
155	21156	19528
156	21293	19395
157	21431	19261
158	21557	19116
159	21688	18977
160	21822	18840
161	21951	18699
162	22088	18565
163	22230	18435
164	22364	18298
165	22493	18157
166	22626	18020
167	22759	17882
168	22889	17742
169	23042	17620
170	23200	17502
171	23335	17365
172	23473	17231
173	23598	17088
174	23732	16951
175	23874	16820
176	24004	16681
177	24136	16542
178	24270	16406
179	24401	16267
180	24536	16131
181	24674	15997
182	24797	15854
183	24932	15718
184	25064	15580
185	25191	15440
186	25320	15300
187	25449	15161
188	25580	15023
189	25712	14886
190	25842	14747
191	25975	14611
192	26121	14482
193	26266	14351
194	26406	14218
195	26546	14085
196	26681	13950
197	26814	13813
198	26950	13678
199	27098	13549
200	27237	13415
201	27370	13278
202	27507	13143
203	27643	13008
204	27780	12873
205	27917	12738
206	28056	12605
207	28188	12468
208	28322	12331
209	28455	12195
210	28597	12062
211	28736	11928
212	28873	11793
213	29010	11658
214	29139	11520
215	29280	11386
216	29407	11247
217	29538	11110
218	29670	10974
219	29806	10838
220	29939	10702
221	30077	10567
222	30207	10430
223	30341	10294
224	30480	10160
225	30607	10022
226	30745	9887
227	30878	9751
228	31015	9616
229	31159	9483
230	31302	9350
231	31438	9214
232	31572	9078
233	31701	8941
234	31836	8805
235	31967	8669
236	32105	8534
237	32238	8398
238	32376	8263
239	32510	8127
240	32643	7991
241	32788	7858
242	32920	7722
243	33054	7586
244	33185	7449
245	33320	7314
246	33452	7178
247	33584	7041
248	33719	6906
249	33854	6770
250	33992	6636
251	34129	6500
252	34267	6365
253	34398	6229
254	34529	6093
255	34661	5957
256	34798	5822
257	34932	5686
258	35070	5551
259	35203	5415
260	35341	5280
261	35478	5145
262	35610	5009
263	35745	4874
264	35882	4739
265	36014	4603
266	36149	4467
267	36282	4332
268	36411	4196
269	36551	4061
270	36688	3926
271	36825	3790
272	36961	3655
273	37097	3520
274	37226	3384
275	37366	3249
276	37502	3113
277	37632	2978
278	37762	2842
279	37896	2706
280	38025	2571
281	38158	2435
282	38288	2300
283	38420	2164
284	38550	2028
285	38686	1893
286	38823	1758
287	38957	1623
288	39093	1487
289	39231	1352
290	39370	1217
291	39503	1082
292	39639	947
293	39774	811
294	39909	676
295	40047	541
296	40177	405
297	40318	270
298	40452	135
299	40580	0
